 consumer_id              consumer_name  errors_number
           8             AntôniodaCunha              5
           9        ÉmersondaSilvaLopes              3
          35             JanaínaPacheco              6
          37          AdrianoCavalcanti              3
          43          JanaínaBrazArruda              4
          54      HeloísaCorreiadaCunha              3
          78      PolianeMachadoPedroso              5
          81         CarlosBragaQuadros              6
          90      ValdomiroBragadaCunha              3
         112             NicolasItoLobo              4
         115      RafaelOliveiraPacheco              4
         135          PolianeCavalcanti              4
         149              ÉmersondaCruz              5
         152    ValdomiroPaschoalSimões              6
         162       PolianeQuadrosdaCruz              1
         163              BeatrizdaCruz              2
         164             FabianadaSilva              5
         165                 CarinaLeal              6
         167                HeloísaLima              4
         168             NicolasdaCunha              1
         169            AdrianoSilveira              4
         170    ValdomiroGimenesBarroso              6
         171         GilmardaCruzSimões              2
         172      NicolasPedrosodaSilva              1
         173    JanaínaPaschoalOliveira              2
         174                 KléberBraz              6
         175                TaísMachado              4
         176            GilmarCarmoRuiz              2
         177          BeatrizBragaVelho              4
         178                GilmarLopes              6
         179      ElaineFariasDamasceno              2
         180            HeloísaOliveira              2
         181              PolianeSimões              6
         182         KléberdaCruzdaCruz              2
         183             JanaínaMachado              4
         184         RafaelAssisMachado              1
         185    NicoleDamascenoMedeiros              5
         186             NicoleSilveira              3
         187           FabianaDamasceno              3
         188         AdrianoVelhoFalcão              6
         189                  GilmarIto              4
         190          TaísAssisOliveira              1
         191               GilmarFalcão              2
         192             ÉmersonBarroso              1
         193               AdrianoAssis              2
         194              PolianeArruda              2
         195               CarinaArruda              4
         196     PolianeCavalcantiAssis              5
         198               AdrianoVelho              6
         199            PolianedeSalles              1
         200           TaísMedeirosLeal              4
         201      PolianePedrosoPacheco              4
         202       CarlosPedrosoPedroso              4
         203          NicoleRuizBarroso              4
         204                NicoleBraga              6
         205                CarlosFraga              4
         206              HeloísaFalcão              2
         207           ElaineLopesLopes              7
         208           CarlosBrazVargas              4
         209            CarinaLoboLopes              3
         210             BeatrizdaCunha              6
         211              NicolasFalcão              6
         212             NicoleBrazLima              7
         213             BeatrizGimenes              6
         214           GilmarItoCorreia              2
         215                CarinaVelho              3
         216           CarinaPaimSimões              5
         217       JanaínaDamascenoLima              5
         218        AdrianoQuadrosLopes              1
         219               HeloísaLopes              2
         220              NicolasArruda              3
         221               CarlosFalcão              1
         222              KléberdaSilva              5
         223        CarlosPaschoalCarmo              2
         224                PolianeLobo              2
         225          AdrianodaCunhaIto              4
         226             NicolasGimenes              2
         227        HeloísaVargasdaCruz              4
         228           NicoleFariasBraz              2
         229      FernandoMedeirosLopes              1
         230       ElaineMachadoNazário              5
         232                NicolasLima              5
         233         JanaínaLopesArruda              4
         234      CarlosPaschoalQuadros              2
         235        CarinaPedrosoVargas              2
         236        HeloísaOliveiraLobo              3
         237              JanaínadaCruz              1
         238              GilmarMachado              5
         239     FabianadeSallesQuadros              3
         240     BeatrizGimenesOliveira              6
         241        NicoleFragaMonteiro              3
         242        CarinadaCunhaSimões              1
         243               CarlosFalcão              5
         245     IsabelaOliveiradaCunha              5
         246             GilmarSilveira              5
         247               FernandoLima              4
         248          KléberQuadrosPaim              4
         249          TaísFalcãoCorreia              5
         250           BeatrizBragaLima              3
         251            AntônioPaschoal              3
         252             FabianadaSilva              1
         253                JanaínaLima              2
         254       BeatrizMachadoFalcão              6
         255 ValdomiroPedrosoCavalcanti              2
         256           ÉmersonDamasceno              2
         257                 KléberLima              6
         258       JanaínaFariasPacheco              7
         259                IsabelaRuiz              1
         260              RafaelCorreia              1
         261             ElainedeSalles              6
         262       CarinaNazárioQuadros              4
         263         JanaínaCorreiaLima              6
         264                TaísMachado              2
         265     FabianaNazáriodeSalles              3
         266                 BeatrizIto              5
         267                 AntônioVaz              2
         268            CarlosDamasceno              1
         270              CarlosQuadros              5
         271         ValdomiroFragaLobo              4
         272        JanaínaBragaPacheco              4
         273    NicoleCavalcantidaCunha              4
         274             ElaineSilveira              2
         275       JanaínaNazárioVargas              2
         276              IsabelaArruda              1
         277                 GilmarLima              5
         278             PolianedaCunha              2
         279            NicolasBragaVaz              6
         280               AntônioAssis              4
         281                 PolianeIto              2
         282            FabianaSilveira              1
         283      NicoleMachadoMedeiros              3
         284                PolianeLima              6
         285           AntônioBrazCarmo              4
         286             AdrianoQuadros              1
         287            CarinaVazSimões              6
         288         NicolasMedeirosIto              6
         289           ValdomiroItoLeal              2
         290           AntônioBragaBraz              2
         292             AdrianoQuadros              1
         293             KléberOliveira              2
         294        CarlosMonteiroCarmo              4
         295             GilmarMedeiros              3
         296               GilmarVargas              3
         297  ValdomiroQuadrosDamasceno              3
         298               BeatrizLopes              4
         299            JanaínaSilveira              3
         300               CarinaFalcão              5
         301               ElaineFalcão              1
         302        CarlosdeSallesBraga              4
