id, name, age, CEP, wallet
2, Antônio Ito Gimenes, 21, 83305-500, 2282.22
47, Carlos Vargas Vargas, 49, 44044-257, 1282.43
49, Fabiana Vargas Pedroso, 39, 44044-257, 1345.89
96, Taís Lima Lopes, 46, 44044-257, 343.64
123, Carina Assis Ito, 25, 83305-500, 910.35
161, Taís Paschoal, 57, 49072-600, 4229.68
184, Fernando Velho, 22, 72872-385, 17.88
207, Nicolas Pacheco, 41, 83305-500, 4385.5
226, Kléber Cavalcanti Lima, 21, 72901-718, 2967.07
226, Carlos Medeiros, 35, 64211-140, 1911.5
271, Janaína Silveira, 41, 36081-770, 1652.53
278, Elaine Machado, 40, 50900-230, 4664.77
287, Fernando Machado Correia, 26, 72872-385, 4823.38
330, Elaine Carmo, 53, 77415-862, 287.83
357, Elaine Vargas Gimenes, 59, 50900-230, 3268.53
379, Kléber Vaz, 19, 83221-160, 4335.14
419, Elaine Lima Simões, 41, 91360-160, 4591.75
442, Rafael Vaz Quadros, 25, 68371-360, 4398.98
442, Heloísa da Cruz, 54, 77415-862, 1360.42
465, Janaína Falcão, 33, 54786-220, 13.78
494, Fernando Gimenes Falcão, 50, 49072-600, 4488.24
500, Poliane Correia Lima, 59, 36081-770, 2918.49
506, Beatriz Lima Pacheco, 23, 50900-230, 4088.83
539, Beatriz Braz, 20, 64211-140, 194.38
547, Carina Machado, 25, 50900-230, 1328.72
588, Heloísa Medeiros, 57, 83221-160, 887.17
616, Antônio Machado, 29, 68371-360, 2345.51
653, Adriano da Cruz Barroso, 30, 68371-360, 4855.1
656, Carlos Nazário da Cruz, 44, 68371-360, 988.45
669, Beatriz Carmo, 38, 77415-862, 511.79
675, Valdomiro Medeiros, 20, 72901-718, 969.89
697, Gilmar da Cunha, 52, 91360-160, 3143.64
718, Janaína Silveira Braga, 28, 68371-360, 1210.27
747, Valdomiro Barroso Nazário, 34, 72872-385, 2011.21
791, Fernando Gimenes Braga, 44, 49072-600, 4415.28
792, Janaína Lopes Gimenes, 60, 91360-160, 1592.53
816, Adriano Medeiros Paim, 27, 83305-500, 269.22
854, Fernando Ito Quadros, 23, 83305-500, 4761.63
895, Fernando Nazário, 30, 83305-500, 1432.62
895, Valdomiro Monteiro, 48, 64211-140, 2521.23
926, Rafael Leal Farias, 49, 72901-718, 729.46
970, Fabiana Paim Fraga, 21, 44044-257, 416.62
988, Nicole Simões Arruda, 22, 83305-500, 1733.55
1009, Fernando Silveira Paschoal, 55, 44044-257, 2666.15
1050, Émerson Correia, 23, 77415-862, 2382.83
1054, Émerson Paschoal, 57, 83305-500, 1775.02
1072, Adriano Falcão, 23, 72872-385, 1803.95
1093, Carlos Lopes, 48, 68371-360, 144.29
1132, Isabela Vaz, 59, 72872-385, 783.66
1138, Carina Velho, 29, 65042-240, 1901.95
1152, Gilmar Vargas, 24, 72901-718, 2027.96
1187, Taís Silveira, 43, 54786-220, 1312.48
1236, Fernando Vaz, 53, 68371-360, 1902.19
1276, Adriano Carmo Machado, 49, 83221-160, 3508.7
1319, Kléber da Cruz, 59, 83221-160, 3260.53
1363, Nicolas Vaz Vaz, 35, 50900-230, 3493.58
1406, Poliane Ruiz, 33, 64211-140, 2242.41
1429, Isabela Monteiro Vaz, 40, 68371-360, 780.13
1450, Taís Nazário Velho, 25, 68371-360, 394.36
1483, Kléber Farias Carmo, 30, 50900-230, 1749.9
