order_id,product_id,product_amount,product_name,consumer_name
2,57,47,dolce gusto,Taís Braga
3,5,77,led lights,Fabiana Cavalcanti Braga
4,44,1332,camera de segurança wifi,Fabiana Cavalcanti Braga
5,26,1291,nikon,Fabiana Cavalcanti Braga
8,1,872,battery,Fabiana Cavalcanti Braga
10,31,754,camera polaroid,Poliane Simões Arruda
11,22,1808,câmera,Poliane Simões Arruda
12,69,1353,barra de chocolate,Poliane Simões Arruda
14,54,244,vodka,Émerson de Salles
15,62,242.0,carrefour,Kléber Machado Paim
16,27,439,camera canon,Kléber Machado Paim
17,17,11.0,bateria carro,Kléber Machado Paim
18,52,313,bebedouro,Kléber Machado Paim
19,42,527,papel de parede branco,Kléber Machado Paim
20,48,941,cerveja,Fabiana Carmo Machado
21,9,339,fluke,Fabiana Carmo Machado
22,15,1949,switch controller,Fabiana Carmo Machado
23,47,1341,chocolate,Fabiana Carmo Machado
24,32,1967,instax mini,Fabiana Carmo Machado
25,35,1451,monitor ultrawide,Antônio da Cunha
26,36,1590,ipad,Antônio da Cunha
27,8,427,car battery,Antônio da Cunha
29,69,1353,barra de chocolate,Antônio da Cunha
30,48,941,cerveja,Antônio da Cunha
31,6,1649,battery charger,Émerson da Silva Lopes
32,69,1353,barra de chocolate,Émerson da Silva Lopes
34,19,1791,bateria de carro,Émerson da Silva Lopes
35,47,1341,chocolate,Kléber Monteiro Leal
36,16,1174,fichario,Kléber Monteiro Leal
37,61,404,pasta,Fabiana Braz Paschoal
38,1,869.0,battery,Fabiana Braz Paschoal
39,12,439,multimeter,Fabiana Braz Paschoal
40,64,1577,heineken,Beatriz Machado Falcão
41,29,275,camera fotografica,Beatriz Machado Falcão
43,25,68,s20 fe,Kléber Oliveira Paim
44,47,1341,chocolate,Kléber Oliveira Paim
45,23,444,moto g10,Antônio Braga
46,57,47,dolce gusto,Antônio Braga
47,61,404,pasta,Antônio Braga
49,43,484,moto g 10,Antônio Braga
50,42,527,papel de parede branco,Antônio Machado
51,64,1577,heineken,Antônio Machado
52,7,1287,trash can,Antônio Machado
53,66,1620,leite condensado,Antônio Machado
54,68,149,açúcar,Antônio Machado
55,55,1633,mercado livre,Beatriz Simões
56,70,1724,leite ninho,Beatriz Simões
57,30,1638,moto g9,Beatriz Simões
58,38,824,motorola g10,Poliane Gimenes Paim
59,61,404,pasta,Poliane Gimenes Paim
60,31,754,camera polaroid,Gilmar Pedroso Leal
61,10,1663.0,laser,Janaína Gimenes Paim
62,17,11.0,bateria carro,Janaína Gimenes Paim
63,8,427,car battery,Janaína Gimenes Paim
64,16,1174,fichario,Janaína Gimenes Paim
66,10,1663.0,laser,Janaína Gimenes Paim
67,42,527,papel de parede branco,Fabiana Paschoal
68,24,514,polaroid,Fabiana Paschoal
69,8,427,car battery,Fabiana Paschoal
71,23,444,moto g10,Fabiana Paschoal
72,59,1596,doces,Fabiana Paschoal
73,31,754,camera polaroid,Fabiana Paschoal
74,13,1950,led strip,Adriano Leal
75,41,759,samsung s20 fe,Adriano Leal
76,33,1035,câmera fotográfica,Adriano Leal
77,62,242.0,carrefour,Adriano Leal
78,5,77,led lights,Adriano Leal
79,23,444,moto g10,Adriano Leal
80,2,1253,bateria,Adriano Leal
81,44,1332,camera de segurança wifi,Gilmar Monteiro Machado
83,47,1341,chocolate,Gilmar Monteiro Machado
84,4,1474,power supply,Rafael Paim
86,27,439,camera canon,Rafael Paim
87,12,439,multimeter,Rafael Paim
88,42,527,papel de parede branco,Rafael Paim
90,67,1779,cortina para sala,Rafael Paim
91,67,1779,cortina para sala,Poliane da Silva
92,59,1596,doces,Poliane da Silva
93,12,439,multimeter,Poliane da Silva
94,30,1638,moto g9,Poliane da Silva
95,11,1671.0,kabel,Poliane da Silva
97,2,1253,bateria,Elaine Vaz
99,64,1577,heineken,Gilmar Medeiros
100,36,1590,ipad,Gilmar Medeiros
101,45,1750,instax mini 11,Gilmar Medeiros
103,60,1163,cacau show,Isabela da Cruz Nazário
104,48,941,cerveja,Gilmar Correia Velho
105,18,426,arduino,Gilmar Correia Velho
107,63,1307,cafeteira,Gilmar Correia Velho
108,8,427,car battery,Elaine Farias Gimenes
109,40,1844,notebook samsung i7,Elaine Farias Gimenes
110,48,941,cerveja,Elaine Farias Gimenes
112,16,1174,fichario,Taís Silveira
114,32,1967,instax mini,Kléber Ito Vaz
116,57,47,dolce gusto,Carlos Silveira
118,69,1351.0,barra de chocolate,Carlos Silveira
119,12,439,multimeter,Fabiana Machado Cavalcanti
120,67,1778.0,cortina para sala,Fabiana Machado Cavalcanti
121,12,439,multimeter,Fabiana Machado Cavalcanti
122,22,1808,câmera,Fabiana Machado Cavalcanti
123,43,484,moto g 10,Fabiana Machado Cavalcanti
124,26,1291,nikon,Fabiana Machado Cavalcanti
125,4,1474,power supply,Fabiana Machado Cavalcanti
126,23,444,moto g10,Janaína Pacheco
127,3,1950,batteries,Janaína Pacheco
128,68,149,açúcar,Janaína Pacheco
129,64,1577,heineken,Janaína Pacheco
131,14,1741.0,carregador iphone,Janaína Pacheco
132,64,1577,heineken,Janaína Pacheco
133,59,1596,doces,Janaína Arruda Lima
134,44,1332,camera de segurança wifi,Janaína Arruda Lima
135,53,179,jack daniels,Janaína Arruda Lima
136,60,1163,cacau show,Janaína Arruda Lima
137,5,77,led lights,Janaína Arruda Lima
138,36,1590,ipad,Janaína Arruda Lima
139,57,47,dolce gusto,Janaína Arruda Lima
141,53,179,jack daniels,Adriano Cavalcanti
142,20,760,led rgb,Adriano Cavalcanti
143,35,1451,monitor ultrawide,Adriano Cavalcanti
144,43,484,moto g 10,Heloísa Machado
145,12,439,multimeter,Heloísa Machado
146,30,1638,moto g9,Émerson Quadros
147,65,914,morango,Émerson Quadros
148,53,179,jack daniels,Émerson Quadros
149,24,514,polaroid,Émerson Quadros
150,12,439,multimeter,Nicolas Lima Fraga
151,50,1753,gin,Nicolas Lima Fraga
152,67,1778.0,cortina para sala,Nicolas Lima Fraga
153,10,1663.0,laser,Nicolas Lima Fraga
155,2,1253,bateria,Nicolas Lima Fraga
156,29,271.0,camera fotografica,Nicolas Lima Fraga
157,14,1741.0,carregador iphone,Carina Oliveira Simões
158,29,271.0,camera fotografica,Carina Oliveira Simões
159,28,347.0,instax,Carina Oliveira Simões
160,23,444,moto g10,Carina Oliveira Simões
161,36,1590,ipad,Carina Oliveira Simões
162,11,1671.0,kabel,Carina Oliveira Simões
163,20,760,led rgb,Janaína Nazário Leal
164,44,1332,camera de segurança wifi,Janaína Nazário Leal
165,43,484,moto g 10,Janaína Nazário Leal
166,49,581,whisky,Janaína Nazário Leal
167,69,1351.0,barra de chocolate,Janaína Braz Arruda
168,12,439,multimeter,Janaína Braz Arruda
169,8,427,car battery,Janaína Braz Arruda
172,50,1753,gin,Janaína Braz Arruda
173,42,527,papel de parede branco,Elaine Gimenes
174,39,1523,moto g10 plus,Elaine Gimenes
176,32,1967,instax mini,Gilmar Lopes Braz
178,38,824.0,motorola g10,Antônio Cavalcanti Vaz
179,46,714,vinho,Elaine Barroso
180,25,68,s20 fe,Elaine Barroso
181,35,1451,monitor ultrawide,Elaine Barroso
182,23,444,moto g10,Elaine Barroso
183,5,77,led lights,Elaine Barroso
184,61,404,pasta,Elaine Barroso
185,60,1163,cacau show,Taís Machado
186,16,1174,fichario,Taís Machado
187,68,149,açúcar,Carina Correia Medeiros
188,24,514,polaroid,Carina Correia Medeiros
189,50,1753,gin,Carina Correia Medeiros
190,64,1577,heineken,Carina Correia Medeiros
191,68,149,açúcar,Carina Correia Medeiros
192,2,1253,bateria,Carina Correia Medeiros
193,18,426,arduino,Carina Correia Medeiros
194,12,439,multimeter,Nicolas Paschoal Correia
195,57,47,dolce gusto,Nicolas Paschoal Correia
196,6,1649,battery charger,Nicolas Farias da Silva
197,1,866.0,battery,Poliane da Silva
200,40,1844,notebook samsung i7,Isabela da Silva Carmo
201,33,1035,câmera fotográfica,Isabela da Silva Carmo
202,43,484.0,moto g 10,Isabela da Silva Carmo
204,50,1753,gin,Heloísa Correia da Cunha
206,61,404,pasta,Heloísa Correia da Cunha
207,54,244,vodka,Heloísa Correia da Cunha
209,34,33,papel de parede cinza,Carina Nazário
210,66,1620,leite condensado,Carina Nazário
211,21,1856,camera,Carina Nazário
212,54,244,vodka,Carina Nazário
213,36,1590,ipad,Carlos Velho
214,20,760,led rgb,Carlos Velho
216,49,581,whisky,Elaine Pacheco Leal
217,7,1235.0,trash can,Elaine Pacheco Leal
219,69,1351.0,barra de chocolate,Elaine Pacheco Leal
220,68,149,açúcar,Elaine Pacheco Leal
222,66,1620,leite condensado,Fabiana Fraga Cavalcanti
223,8,427,car battery,Fabiana Fraga Cavalcanti
224,9,339,fluke,Fabiana Fraga Cavalcanti
225,5,77,led lights,Fabiana Fraga Cavalcanti
226,57,47,dolce gusto,Fabiana Fraga Cavalcanti
229,61,404,pasta,Poliane Leal Lobo
230,2,1253,bateria,Poliane Leal Lobo
231,12,439.0,multimeter,Poliane Leal Lobo
232,60,1163,cacau show,Carlos Pacheco
233,58,832,espumante,Carlos Pacheco
234,46,714,vinho,Carlos Pacheco
235,61,404,pasta,Carlos Pacheco
236,23,444,moto g10,Nicolas Machado Gimenes
238,3,1948.0,batteries,Nicolas Machado Gimenes
239,47,1341,chocolate,Nicolas Machado Gimenes
240,49,581,whisky,Nicolas Machado Gimenes
241,58,832,espumante,Nicolas Machado Gimenes
242,52,312.0,bebedouro,Nicolas Machado Gimenes
243,64,1577,heineken,Valdomiro Pacheco Vargas
244,27,439.0,camera canon,Valdomiro Pacheco Vargas
246,3,1948.0,batteries,Fabiana da Silva Medeiros
249,28,324.0,instax,Fabiana da Silva Medeiros
250,30,1638,moto g9,Fabiana da Silva Medeiros
252,47,1341.0,chocolate,Valdomiro Monteiro
254,35,1451,monitor ultrawide,Carina Leal Vaz
255,3,1948.0,batteries,Carina Leal Vaz
256,57,47,dolce gusto,Carina Leal Vaz
257,33,1035,câmera fotográfica,Carina Leal Vaz
258,24,514,polaroid,Carina Leal Vaz
261,58,832,espumante,Kléber Lima Quadros
262,70,1723.0,leite ninho,Kléber Farias Ruiz
263,26,1291,nikon,Kléber Farias Ruiz
264,49,581,whisky,Kléber Farias Ruiz
265,64,1577,heineken,Kléber Farias Ruiz
267,65,914,morango,Taís Assis Arruda
268,26,1291,nikon,Taís Assis Arruda
271,55,1633,mercado livre,Gilmar Gimenes
272,27,439.0,camera canon,Gilmar Gimenes
273,35,1451,monitor ultrawide,Gilmar Gimenes
274,35,1451,monitor ultrawide,Gilmar Gimenes
275,22,1808,câmera,Gilmar Gimenes
276,58,832,espumante,Adriano Velho Ito
277,6,1649,battery charger,Kléber Damasceno Gimenes
278,49,581,whisky,Kléber Damasceno Gimenes
279,54,244,vodka,Kléber Damasceno Gimenes
280,24,514,polaroid,Kléber Damasceno Gimenes
281,5,77,led lights,Kléber Damasceno Gimenes
282,38,824.0,motorola g10,Kléber Damasceno Gimenes
283,4,1474,power supply,Kléber Damasceno Gimenes
284,63,1307,cafeteira,Janaína Braz
286,65,914,morango,Janaína Braz
287,40,1844,notebook samsung i7,Janaína Braz
289,57,47,dolce gusto,Janaína Cavalcanti
290,38,824.0,motorola g10,Émerson Assis Simões
291,69,1351.0,barra de chocolate,Émerson Assis Simões
292,13,1950,led strip,Émerson Assis Simões
293,38,824.0,motorola g10,Émerson Assis Simões
295,14,1725.0,carregador iphone,Émerson Assis Simões
296,59,1589.0,doces,Émerson Assis Simões
297,22,1808,câmera,Fernando Assis
298,13,1950,led strip,Fernando Assis
299,31,754,camera polaroid,Fernando Assis
300,5,77,led lights,Fernando Assis
301,66,1620,leite condensado,Fernando Assis
302,33,1035,câmera fotográfica,Fernando Assis
303,42,527,papel de parede branco,Nicolas Silveira
