consumer,error_number,errors
Taís Braga,1,"[{'Order_id': 2, 'Product_id': 57, 'Product_name': 'dolce gusto'}]"
Fabiana Cavalcanti Braga,4,"[{'Order_id': 3, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 4, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 5, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 8, 'Product_id': 1, 'Product_name': 'battery'}]"
Poliane Simões Arruda,3,"[{'Order_id': 10, 'Product_id': 31, 'Product_name': 'camera polaroid'}, {'Order_id': 11, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 12, 'Product_id': 69, 'Product_name': 'barra de chocolate'}]"
Émerson de Salles,1,"[{'Order_id': 14, 'Product_id': 54, 'Product_name': 'vodka'}]"
Kléber Machado Paim,5,"[{'Order_id': 15, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 16, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 17, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 18, 'Product_id': 52, 'Product_name': 'bebedouro'}, {'Order_id': 19, 'Product_id': 42, 'Product_name': 'papel de parede branco'}]"
Fabiana Carmo Machado,5,"[{'Order_id': 20, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 21, 'Product_id': 9, 'Product_name': 'fluke'}, {'Order_id': 22, 'Product_id': 15, 'Product_name': 'switch controller'}, {'Order_id': 23, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 24, 'Product_id': 32, 'Product_name': 'instax mini'}]"
Antônio da Cunha,5,"[{'Order_id': 25, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}, {'Order_id': 26, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 27, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 29, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 30, 'Product_id': 48, 'Product_name': 'cerveja'}]"
Émerson da Silva Lopes,3,"[{'Order_id': 31, 'Product_id': 6, 'Product_name': 'battery charger'}, {'Order_id': 32, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 34, 'Product_id': 19, 'Product_name': 'bateria de carro'}]"
Kléber Monteiro Leal,2,"[{'Order_id': 35, 'Product_id': 47, 'Product_name': 'chocolate'}, {'Order_id': 36, 'Product_id': 16, 'Product_name': 'fichario'}]"
Fabiana Braz Paschoal,3,"[{'Order_id': 37, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 38, 'Product_id': 1, 'Product_name': 'battery'}, {'Order_id': 39, 'Product_id': 12, 'Product_name': 'multimeter'}]"
Beatriz Machado Falcão,2,"[{'Order_id': 40, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 41, 'Product_id': 29, 'Product_name': 'camera fotografica'}]"
Kléber Oliveira Paim,2,"[{'Order_id': 43, 'Product_id': 25, 'Product_name': 's20 fe'}, {'Order_id': 44, 'Product_id': 47, 'Product_name': 'chocolate'}]"
Antônio Braga,4,"[{'Order_id': 45, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 46, 'Product_id': 57, 'Product_name': 'dolce gusto'}, {'Order_id': 47, 'Product_id': 61, 'Product_name': 'pasta'}, {'Order_id': 49, 'Product_id': 43, 'Product_name': 'moto g 10'}]"
Antônio Machado,5,"[{'Order_id': 50, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 51, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 52, 'Product_id': 7, 'Product_name': 'trash can'}, {'Order_id': 53, 'Product_id': 66, 'Product_name': 'leite condensado'}, {'Order_id': 54, 'Product_id': 68, 'Product_name': 'açúcar'}]"
Beatriz Simões,3,"[{'Order_id': 55, 'Product_id': 55, 'Product_name': 'mercado livre'}, {'Order_id': 56, 'Product_id': 70, 'Product_name': 'leite ninho'}, {'Order_id': 57, 'Product_id': 30, 'Product_name': 'moto g9'}]"
Poliane Gimenes Paim,2,"[{'Order_id': 58, 'Product_id': 38, 'Product_name': 'motorola g10'}, {'Order_id': 59, 'Product_id': 61, 'Product_name': 'pasta'}]"
Gilmar Pedroso Leal,1,"[{'Order_id': 60, 'Product_id': 31, 'Product_name': 'camera polaroid'}]"
Janaína Gimenes Paim,5,"[{'Order_id': 61, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 62, 'Product_id': 17, 'Product_name': 'bateria carro'}, {'Order_id': 63, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 64, 'Product_id': 16, 'Product_name': 'fichario'}, {'Order_id': 66, 'Product_id': 10, 'Product_name': 'laser'}]"
Fabiana Paschoal,6,"[{'Order_id': 67, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 68, 'Product_id': 24, 'Product_name': 'polaroid'}, {'Order_id': 69, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 71, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 72, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 73, 'Product_id': 31, 'Product_name': 'camera polaroid'}]"
Adriano Leal,7,"[{'Order_id': 74, 'Product_id': 13, 'Product_name': 'led strip'}, {'Order_id': 75, 'Product_id': 41, 'Product_name': 'samsung s20 fe'}, {'Order_id': 76, 'Product_id': 33, 'Product_name': 'câmera fotográfica'}, {'Order_id': 77, 'Product_id': 62, 'Product_name': 'carrefour'}, {'Order_id': 78, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 79, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 80, 'Product_id': 2, 'Product_name': 'bateria'}]"
Gilmar Monteiro Machado,2,"[{'Order_id': 81, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 83, 'Product_id': 47, 'Product_name': 'chocolate'}]"
Rafael Paim,5,"[{'Order_id': 84, 'Product_id': 4, 'Product_name': 'power supply'}, {'Order_id': 86, 'Product_id': 27, 'Product_name': 'camera canon'}, {'Order_id': 87, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 88, 'Product_id': 42, 'Product_name': 'papel de parede branco'}, {'Order_id': 90, 'Product_id': 67, 'Product_name': 'cortina para sala'}]"
Poliane da Silva,5,"[{'Order_id': 91, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 92, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 93, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 94, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 95, 'Product_id': 11, 'Product_name': 'kabel'}]"
Elaine Vaz,1,"[{'Order_id': 97, 'Product_id': 2, 'Product_name': 'bateria'}]"
Gilmar Medeiros,3,"[{'Order_id': 99, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 100, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 101, 'Product_id': 45, 'Product_name': 'instax mini 11'}]"
Isabela da Cruz Nazário,1,"[{'Order_id': 103, 'Product_id': 60, 'Product_name': 'cacau show'}]"
Gilmar Correia Velho,3,"[{'Order_id': 104, 'Product_id': 48, 'Product_name': 'cerveja'}, {'Order_id': 105, 'Product_id': 18, 'Product_name': 'arduino'}, {'Order_id': 107, 'Product_id': 63, 'Product_name': 'cafeteira'}]"
Elaine Farias Gimenes,3,"[{'Order_id': 108, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 109, 'Product_id': 40, 'Product_name': 'notebook samsung i7'}, {'Order_id': 110, 'Product_id': 48, 'Product_name': 'cerveja'}]"
Taís Silveira,1,"[{'Order_id': 112, 'Product_id': 16, 'Product_name': 'fichario'}]"
Kléber Ito Vaz,1,"[{'Order_id': 114, 'Product_id': 32, 'Product_name': 'instax mini'}]"
Carlos Silveira,2,"[{'Order_id': 116, 'Product_id': 57, 'Product_name': 'dolce gusto'}, {'Order_id': 118, 'Product_id': 69, 'Product_name': 'barra de chocolate'}]"
Fabiana Machado Cavalcanti,7,"[{'Order_id': 119, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 120, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 121, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 122, 'Product_id': 22, 'Product_name': 'câmera'}, {'Order_id': 123, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 124, 'Product_id': 26, 'Product_name': 'nikon'}, {'Order_id': 125, 'Product_id': 4, 'Product_name': 'power supply'}]"
Janaína Pacheco,6,"[{'Order_id': 126, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 127, 'Product_id': 3, 'Product_name': 'batteries'}, {'Order_id': 128, 'Product_id': 68, 'Product_name': 'açúcar'}, {'Order_id': 129, 'Product_id': 64, 'Product_name': 'heineken'}, {'Order_id': 131, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 132, 'Product_id': 64, 'Product_name': 'heineken'}]"
Janaína Arruda Lima,7,"[{'Order_id': 133, 'Product_id': 59, 'Product_name': 'doces'}, {'Order_id': 134, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 135, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 136, 'Product_id': 60, 'Product_name': 'cacau show'}, {'Order_id': 137, 'Product_id': 5, 'Product_name': 'led lights'}, {'Order_id': 138, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 139, 'Product_id': 57, 'Product_name': 'dolce gusto'}]"
Adriano Cavalcanti,3,"[{'Order_id': 141, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 142, 'Product_id': 20, 'Product_name': 'led rgb'}, {'Order_id': 143, 'Product_id': 35, 'Product_name': 'monitor ultrawide'}]"
Heloísa Machado,2,"[{'Order_id': 144, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 145, 'Product_id': 12, 'Product_name': 'multimeter'}]"
Émerson Quadros,4,"[{'Order_id': 146, 'Product_id': 30, 'Product_name': 'moto g9'}, {'Order_id': 147, 'Product_id': 65, 'Product_name': 'morango'}, {'Order_id': 148, 'Product_id': 53, 'Product_name': 'jack daniels'}, {'Order_id': 149, 'Product_id': 24, 'Product_name': 'polaroid'}]"
Nicolas Lima Fraga,6,"[{'Order_id': 150, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 151, 'Product_id': 50, 'Product_name': 'gin'}, {'Order_id': 152, 'Product_id': 67, 'Product_name': 'cortina para sala'}, {'Order_id': 153, 'Product_id': 10, 'Product_name': 'laser'}, {'Order_id': 155, 'Product_id': 2, 'Product_name': 'bateria'}, {'Order_id': 156, 'Product_id': 29, 'Product_name': 'camera fotografica'}]"
Carina Oliveira Simões,6,"[{'Order_id': 157, 'Product_id': 14, 'Product_name': 'carregador iphone'}, {'Order_id': 158, 'Product_id': 29, 'Product_name': 'camera fotografica'}, {'Order_id': 159, 'Product_id': 28, 'Product_name': 'instax'}, {'Order_id': 160, 'Product_id': 23, 'Product_name': 'moto g10'}, {'Order_id': 161, 'Product_id': 36, 'Product_name': 'ipad'}, {'Order_id': 162, 'Product_id': 11, 'Product_name': 'kabel'}]"
Janaína Nazário Leal,4,"[{'Order_id': 163, 'Product_id': 20, 'Product_name': 'led rgb'}, {'Order_id': 164, 'Product_id': 44, 'Product_name': 'camera de segurança wifi'}, {'Order_id': 165, 'Product_id': 43, 'Product_name': 'moto g 10'}, {'Order_id': 166, 'Product_id': 49, 'Product_name': 'whisky'}]"
Janaína Braz Arruda,4,"[{'Order_id': 167, 'Product_id': 69, 'Product_name': 'barra de chocolate'}, {'Order_id': 168, 'Product_id': 12, 'Product_name': 'multimeter'}, {'Order_id': 169, 'Product_id': 8, 'Product_name': 'car battery'}, {'Order_id': 172, 'Product_id': 50, 'Product_name': 'gin'}]"
